2025-10-01 15:15:02,715 - INFO - Loaded car configuration from file
2025-10-01 15:15:02,748 - INFO - iRacing SDK initialized
2025-10-01 15:41:53,941 - INFO - Upshift alert: 8734 RPM (target: 8200, gear: 0)
2025-10-01 15:41:59,958 - INFO - Upshift alert: 8400 RPM (target: 8200, gear: 1)
2025-10-01 15:42:01,307 - INFO - Upshift alert: 8201 RPM (target: 8200, gear: 2)
2025-10-01 15:42:03,416 - INFO - Upshift alert: 8234 RPM (target: 8200, gear: 3)
2025-10-01 15:42:08,207 - INFO - Upshift alert: 8213 RPM (target: 8200, gear: 0)
2025-10-01 15:42:16,335 - INFO - Upshift alert: 8204 RPM (target: 8200, gear: 2)
2025-10-01 15:42:21,855 - INFO - Upshift alert: 8236 RPM (target: 8200, gear: 2)
2025-10-01 15:42:29,733 - INFO - Upshift alert: 8680 RPM (target: 8200, gear: 1)
2025-10-01 15:42:40,633 - INFO - Upshift alert: 8244 RPM (target: 8200, gear: 3)
2025-10-01 15:42:44,494 - INFO - Upshift alert: 8501 RPM (target: 8500, gear: 4)
2025-10-01 15:42:57,397 - INFO - Upshift alert: 8213 RPM (target: 8200, gear: 3)
2025-10-01 15:43:05,676 - INFO - Upshift alert: 8214 RPM (target: 8200, gear: 3)
2025-10-01 15:43:10,294 - INFO - Upshift alert: 8269 RPM (target: 8200, gear: 3)
2025-10-01 15:43:21,658 - INFO - Upshift alert: 8219 RPM (target: 8200, gear: 3)
2025-10-01 15:43:25,596 - INFO - Upshift alert: 8530 RPM (target: 8500, gear: 4)
2025-10-01 15:43:26,527 - INFO - Upshift alert: 8678 RPM (target: 8200, gear: 0)
2025-10-01 15:43:32,172 - INFO - Upshift alert: 8247 RPM (target: 8200, gear: 3)
2025-10-01 15:43:40,607 - INFO - Upshift alert: 8204 RPM (target: 8200, gear: 2)
2025-10-01 15:43:43,707 - INFO - Upshift alert: 8300 RPM (target: 8200, gear: 2)
2025-10-01 15:43:46,514 - INFO - Upshift alert: 8253 RPM (target: 8200, gear: 3)
2025-10-01 15:43:50,126 - INFO - Upshift alert: 8521 RPM (target: 8500, gear: 4)
2025-10-01 15:43:51,893 - INFO - Upshift alert: 8538 RPM (target: 8200, gear: 0)
2025-10-01 15:43:52,575 - INFO - Upshift alert: 8244 RPM (target: 8200, gear: 3)
2025-10-01 15:43:57,599 - INFO - Upshift alert: 8273 RPM (target: 8200, gear: 2)
2025-10-01 15:43:59,536 - INFO - Upshift alert: 8236 RPM (target: 8200, gear: 3)
2025-10-01 15:44:03,893 - INFO - Upshift alert: 8285 RPM (target: 8200, gear: 3)
2025-10-01 15:44:04,918 - INFO - Upshift alert: 8300 RPM (target: 8200, gear: 3)
2025-10-01 15:44:06,948 - INFO - Upshift alert: 8208 RPM (target: 8200, gear: 3)
2025-10-01 15:44:10,730 - INFO - Upshift alert: 8508 RPM (target: 8500, gear: 4)
2025-10-01 15:44:19,755 - INFO - Upshift alert: 8271 RPM (target: 8200, gear: 0)
2025-10-01 15:44:26,792 - INFO - Upshift alert: 8291 RPM (target: 8200, gear: 2)
2025-10-01 15:44:47,893 - INFO - Shutting down iRacing RPM Alert
2025-10-01 15:44:49,346 - INFO - Loaded car configuration from file
2025-10-01 15:44:49,359 - INFO - iRacing SDK initialized
2025-10-01 15:44:49,445 - INFO - iRacing RPM Alert v1.0.0 started
2025-10-01 15:45:24,052 - INFO - Car detected: 'Porsche 911 GT3 Cup (992)'
2025-10-01 15:45:24,053 - INFO - Upshift RPM set to: 8200 for gear 1
2025-10-01 15:45:24,742 - INFO - Car detected: 'safety pcporsche911cup'
2025-10-01 15:45:24,743 - INFO - Upshift RPM set to: 8200 for gear 1
2025-10-01 15:45:25,260 - INFO - Car detected: 'safety pcporsche911cup'
2025-10-01 15:45:25,261 - INFO - Upshift RPM set to: 8200 for gear 1
2025-10-01 15:45:55,505 - INFO - Loaded car configuration from file
2025-10-01 15:45:55,514 - INFO - iRacing SDK initialized
2025-10-01 15:45:55,588 - INFO - Car detected: 'safety pcporsche911cup'
2025-10-01 15:45:55,588 - INFO - Upshift RPM set to: 8200 for gear 1
2025-10-01 15:45:55,589 - INFO - iRacing RPM Alert v1.0.0 started
2025-10-01 15:46:35,254 - INFO - Car database saved to file
2025-10-01 15:46:36,863 - INFO - Added new car configuration: SRX
2025-10-01 15:46:51,663 - INFO - Loaded car configuration from file
2025-10-01 15:46:51,663 - INFO - Configuration reloaded from file
2025-10-01 15:46:55,298 - INFO - Monitoring PAUSED
2025-10-01 15:46:57,210 - INFO - Monitoring ACTIVE
2025-10-01 15:47:06,491 - INFO - Upshift alert: 8701 RPM (target: 8200, gear: 0)
2025-10-01 15:47:08,109 - INFO - Monitoring PAUSED
2025-10-01 15:47:10,742 - INFO - Monitoring ACTIVE
2025-10-01 15:47:11,295 - INFO - Upshift alert: 8666 RPM (target: 8200, gear: 0)
2025-10-01 15:47:13,428 - INFO - Loaded car configuration from file
2025-10-01 15:47:13,428 - INFO - Configuration reloaded from file
2025-10-01 15:47:16,735 - INFO - Upshift alert: 8563 RPM (target: 8200, gear: 0)
2025-10-01 15:47:48,358 - INFO - Car detected: 'safety pcporsche911cup'
2025-10-01 15:47:48,358 - INFO - Upshift RPM set to: 8200 for gear 1
2025-10-01 15:47:50,438 - INFO - Car detected: 'safety pcporsche911cup'
2025-10-01 15:47:50,438 - INFO - Upshift RPM set to: 8200 for gear 1
2025-10-01 15:48:02,907 - INFO - Upshift alert: 8312 RPM (target: 8200, gear: 2)
2025-10-01 15:48:04,861 - INFO - Upshift alert: 8223 RPM (target: 8200, gear: 3)
2025-10-01 15:48:16,986 - INFO - Upshift alert: 8201 RPM (target: 8200, gear: 2)
2025-10-01 15:48:24,088 - INFO - Upshift alert: 8260 RPM (target: 8200, gear: 2)
2025-10-01 15:48:26,213 - INFO - Upshift alert: 8243 RPM (target: 8200, gear: 3)
2025-10-01 15:48:32,059 - INFO - Upshift alert: 8229 RPM (target: 8200, gear: 4)
2025-10-01 15:48:36,835 - INFO - Upshift alert: 8269 RPM (target: 8200, gear: 0)
2025-10-01 15:48:43,688 - INFO - Upshift alert: 8264 RPM (target: 8200, gear: 2)
2025-10-01 15:48:45,781 - INFO - Upshift alert: 8208 RPM (target: 8200, gear: 3)
2025-10-01 15:49:08,437 - INFO - Upshift alert: 8242 RPM (target: 8200, gear: 2)
2025-10-01 15:49:10,528 - INFO - Upshift alert: 8239 RPM (target: 8200, gear: 3)
2025-10-01 15:49:13,551 - INFO - Upshift alert: 8202 RPM (target: 8200, gear: 4)
2025-10-01 15:49:20,390 - INFO - Upshift alert: 8215 RPM (target: 8200, gear: 3)
2025-10-01 15:49:29,648 - INFO - Upshift alert: 8250 RPM (target: 8200, gear: 2)
2025-10-01 15:49:30,097 - INFO - Upshift alert: 8308 RPM (target: 8200, gear: 2)
2025-10-01 15:49:32,547 - INFO - Upshift alert: 8227 RPM (target: 8200, gear: 2)
2025-10-01 15:49:34,888 - INFO - Upshift alert: 8236 RPM (target: 8200, gear: 3)
2025-10-01 15:49:37,974 - INFO - Upshift alert: 8233 RPM (target: 8200, gear: 4)
2025-10-01 15:49:48,673 - INFO - Upshift alert: 8247 RPM (target: 8200, gear: 3)
2025-10-01 15:49:52,690 - INFO - Upshift alert: 8217 RPM (target: 8200, gear: 3)
2025-10-01 15:49:56,612 - INFO - Upshift alert: 8213 RPM (target: 8200, gear: 4)
2025-10-01 15:50:01,512 - INFO - Upshift alert: 8211 RPM (target: 8200, gear: 5)
2025-10-01 15:50:08,380 - INFO - Upshift alert: 8286 RPM (target: 8200, gear: 4)
2025-10-01 15:50:12,970 - INFO - Upshift alert: 8249 RPM (target: 8200, gear: 2)
2025-10-01 15:50:14,396 - INFO - Upshift alert: 8215 RPM (target: 8200, gear: 2)
2025-10-01 15:50:21,434 - INFO - Upshift alert: 8332 RPM (target: 8200, gear: 2)
2025-10-01 15:50:23,776 - INFO - Upshift alert: 8219 RPM (target: 8200, gear: 3)
2025-10-01 15:50:26,983 - INFO - Upshift alert: 8236 RPM (target: 8200, gear: 4)
2025-10-01 15:50:32,350 - INFO - Upshift alert: 8527 RPM (target: 8200, gear: 0)
2025-10-01 15:50:33,047 - INFO - Upshift alert: 8339 RPM (target: 8200, gear: 4)
2025-10-01 15:50:48,788 - INFO - Upshift alert: 8627 RPM (target: 8200, gear: 0)
2025-10-01 15:50:49,083 - INFO - Upshift alert: 8709 RPM (target: 8200, gear: 1)
2025-10-01 15:50:52,711 - INFO - Upshift alert: 8275 RPM (target: 8200, gear: 1)
2025-10-01 15:50:54,727 - INFO - Upshift alert: 8291 RPM (target: 8200, gear: 1)
